id,РџРѕРєСѓРїР°С‚РµР»СЊСЃРєР°СЏ Р°РєС‚РёРІРЅРѕСЃС‚СЊ,РўРёРї СЃРµСЂРІРёСЃР°,Р Р°Р·СЂРµС€РёС‚СЊ СЃРѕРѕР±С‰Р°С‚СЊ,РњР°СЂРєРµС‚_Р°РєС‚РёРІ_6_РјРµСЃ,РњР°СЂРєРµС‚_Р°РєС‚РёРІ_С‚РµРє_РјРµСЃ,Р”Р»РёС‚РµР»СЊРЅРѕСЃС‚СЊ,РђРєС†РёРѕРЅРЅС‹Рµ_РїРѕРєСѓРїРєРё,РџРѕРїСѓР»СЏСЂРЅР°СЏ_РєР°С‚РµРіРѕСЂРёСЏ,РЎСЂРµРґРЅРёР№_РїСЂРѕСЃРјРѕС‚СЂ_РєР°С‚РµРіРѕСЂРёР№_Р·Р°_РІРёР·РёС‚,РќРµРѕРїР»Р°С‡РµРЅРЅС‹Рµ_РїСЂРѕРґСѓРєС‚С‹_С€С‚СѓРє_РєРІР°СЂС‚Р°Р»,РћС€РёР±РєР°_СЃРµСЂРІРёСЃР°,РЎС‚СЂР°РЅРёС†_Р·Р°_РІРёР·РёС‚
215348,РЎРЅРёР·РёР»Р°СЃСЊ,РїСЂРµРјРёСѓРј,РґР°,3.4,5,121,0.0,РўРѕРІР°СЂС‹ РґР»СЏ РґРµС‚РµР№,6,2,1,5
215349,РЎРЅРёР·РёР»Р°СЃСЊ,РїСЂРµРјРёСѓРј,РґР°,4.4,4,819,0.75,РўРѕРІР°СЂС‹ РґР»СЏ РґРµС‚РµР№,4,4,2,5
215350,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚С‚,РЅРµС‚,4.9,3,539,0.14,Р”РѕРјР°С€РЅРёР№ С‚РµРєСЃС‚РёР»СЊ,5,2,1,5
215351,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚С‚,РґР°,3.2,5,896,0.99,РўРѕРІР°СЂС‹ РґР»СЏ РґРµС‚РµР№,5,0,6,4
215352,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚С‚,РЅРµС‚,5.1,3,1064,0.94,РўРѕРІР°СЂС‹ РґР»СЏ РґРµС‚РµР№,3,2,3,2
215353,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚С‚,РґР°,3.3,4,762,0.26,Р”РѕРјР°С€РЅРёР№ С‚РµРєСЃС‚РёР»СЊ,4,1,1,4
215354,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚С‚,РґР°,5.1,3,431,0.23,РљРѕСЃРјРµС‚РёРєР° Рё Р°РєСЃРµСЃСѓР°СЂС‹,2,3,7,2
215355,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚С‚,РЅРµС‚,4.7,4,284,0.17,РўРѕРІР°СЂС‹ РґР»СЏ РґРµС‚РµР№,5,1,6,4
215356,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚С‚,РґР°,4.2,4,192,0.14,РљРѕСЃРјРµС‚РёРєР° Рё Р°РєСЃРµСЃСѓР°СЂС‹,2,2,1,3
215357,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚С‚,РґР°,3.9,5,154,0.0,РўРµС…РЅРёРєР° РґР»СЏ РєСЂР°СЃРѕС‚С‹ Рё Р·РґРѕСЂРѕРІСЊСЏ,3,3,9,5
215358,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚С‚,РґР°,4.7,4,450,0.13,Р”РѕРјР°С€РЅРёР№ С‚РµРєСЃС‚РёР»СЊ,4,2,6,4
215359,РЎРЅРёР·РёР»Р°СЃСЊ,СЃС‚Р°РЅРґР°СЂС‚,РґР°,4.6,5,110,0.0,Р”РѕРјР°С€РЅРёР№ С‚РµРєСЃС‚РёР»СЊ,4,2,4,2
