id,РџРµСЂРёРѕРґ,Р’С‹СЂСѓС‡РєР°
215348,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,0.0
215348,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,3293.1
215348,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,0.0
215349,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4472.0
215349,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,4971.6
215349,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,5216.0
215350,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4826.0
215350,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,5058.4
215350,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,5457.5
215351,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,6610.4
215351,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,6158.0
215351,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4793.0
215352,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,5807.5
215352,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4594.0
215352,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,5872.5
215353,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4738.5
215353,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,5124.0
215353,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,5388.5
215354,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,5685.0
215354,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,5869.6
215354,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4503.0
215355,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,3772.6
215355,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4749.0
215355,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,3263.0
215356,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,4566.4
215356,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4433.0
215356,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4146.5
215357,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,5986.3
215357,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,0.0
215357,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,0.0
215358,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,4209.5
215358,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4727.0
215358,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,3488.0
215359,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,4735.0
215359,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,0.0
215359,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,0.0
215360,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,5304.5
215360,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,5834.9
215360,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,5555.0
215361,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,6400.0
215361,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,3789.7
215361,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4597.0
215362,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4314.0
215362,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,4447.9
215362,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4765.0
215363,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,6010.0
215363,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,6128.3
215363,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4633.0
215364,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,5484.8
215364,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4942.0
215364,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,5795.5
215365,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4190.0
215365,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4577.0
215365,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,4799.3
215366,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4335.0
215366,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,5035.5
215366,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,5338.4
215367,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4668.0
215367,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,5164.5
215367,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,5493.4
215368,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4536.0
215368,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,5823.0
215368,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,5591.6
215369,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,3593.0
215369,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,3842.6
215369,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4931.0
215370,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,4840.3
215370,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4535.0
215370,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,5235.5
215371,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,6937.7
215371,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4742.0
215371,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,6809.0
215372,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,4092.2
215372,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4762.0
215372,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,3866.0
215373,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,5161.1
215373,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4293.0
215373,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4632.0
215374,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4666.0
215374,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,5762.5
215374,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,5720.9
215375,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,5253.5
215375,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,5633.1
215375,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4715.0
215376,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,6061.0
215376,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,6209.2
215376,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4723.0
215377,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,5096.5
215377,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,5872.6
215377,РїСЂРµРїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,4273.0
215378,РїСЂРµРґС‹РґСѓС‰РёР№_РјРµСЃСЏС†,3543.0
215378,С‚РµРєСѓС‰РёР№_РјРµСЃСЏС†,4364.6
